otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
La Brezza Suıte Hotel Akyarlar,10920.0,9549.0,1371.0,Overpriced,- 12.55,1,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,600.0
Mersoy Exclusive Hotel,7014.8,11884.7,-4869.9,Significantly Overpriced (Underpriced),+ 69.42,1,1,-1.0,1,0,0,,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,100.0
Marmaris Beach Hotel,9412.0,12630.7,-3218.7,Significantly Overpriced (Underpriced),+ 34.2,1,1,2.0,1,0,0,,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0.0
Mono Life Hotel Çeşme,7500.0,8521.8,-1021.8,Overpriced (Underpriced),+ 13.62,0,1,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.0
Mic Royal Hotel,9871.9,11550.1,-1678.2,Overpriced (Underpriced),+ 17.0,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Miamai Butik Otel,45582.0,12214.7,33367.3,Significantly Overpriced,- 73.2,1,0,2.0,0,0,0,,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.0
Mes Mudita Boutique Hotel,3200.0,8823.7,-5623.7,Significantly Overpriced (Underpriced),+ 175.74,1,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,750.0
Mon Amour Alaçatı,7347.0,8594.8,-1247.8,Overpriced (Underpriced),+ 16.98,1,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,750.0
Monreve Alaçatı,26700.0,11820.0,14880.0,Significantly Overpriced,- 55.73,0,1,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mg Club Akman Beach,18931.2,11010.1,7921.1,Significantly Overpriced,- 41.84,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Modern Life Bodrum Otel,8429.0,10328.0,-1899.0,Significantly Overpriced (Underpriced),+ 22.53,0,1,-1.0,0,0,0,,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,300.0
Mono Life Hotel,11800.0,11649.8,150.2,Fair,- 1.27,0,0,2.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Kleopatra Beach Hotel,7875.0,13270.5,-5395.5,Significantly Overpriced (Underpriced),+ 68.51,2,1,2.0,2,0,1,,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,50.0
Marmaris Park Hotel,13125.0,14497.4,-1372.4,Overpriced (Underpriced),+ 10.46,4,2,2.0,1,1,1,,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Seher Resort Spa,16640.0,14558.3,2081.7,Overpriced,- 12.51,4,2,2.0,1,1,1,,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0.0
Hotel Grand Kaptan,12959.5,14760.3,-1800.8,Overpriced (Underpriced),+ 13.9,5,1,2.0,2,0,1,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Galeri Resort Hotel,16084.6,16084.7,-0.1,Fair (Underpriced),+ 0.0,7,4,2.0,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0.0
Adalya Elite Lara,26990.5,15888.7,11101.8,Significantly Overpriced,- 41.13,5,5,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.0
