id,otel_ad,fiyat,imageurl,score,fiyat_araligi,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki,predicted_price,price_difference,fair_price_range,fair_price_percentage
433,La Brezza Suıte Hotel Akyarlar,"10.920,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/09739/1050X700/tsr09739637744123920133553.jpg,,"""9000-11000""",Bodrum - Akyarlar ,"60 km, Milas HA ",600 - 750 Metre Arası,Özel Plaj,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9549.0,1371.0,Overpriced,-12.55
882,Mersoy Exclusive Hotel,"7.014,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02087/1050X700/tsr02087637751633050216963.jpg,"7,1","""7000-9000""",Marmaris - İçmeler ,"100 km, Dalaman HA ",100 - 200 Metre Arası,Halk Plajı,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,11884.7,-4869.9,Significantly Overpriced (Underpriced),69.42
580,Marmaris Beach Hotel,"9.412,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/07352/tsr07352637043203452804255.jpg,"7,9","""9000-11000""",Marmaris - Merkez ,"100 km, Dalaman ",Denize Sıfır,Özel Plaj,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,12630.7,-3218.7,Significantly Overpriced (Underpriced),34.2
723,Mono Life Hotel Çeşme,"7.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13908/1050X700/tsr13908638490536566523790.jpg,,"""7000-9000""",Çeşme - Çeşme Merkez ,"No Info km, No Info",750 Metre ve Üzeri,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8521.8,-1021.8,Overpriced (Underpriced),13.62
884,Mic Royal Hotel,"9.871,92 TL",https://cdn.tatilsepeti.com/Files/TesisResim/09051/tsr09051636880702910355711.jpg,,"""9000-11000""",Antalya - Konyaaltı ,"No Info km, No Info",No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550.1,-1678.2,Overpriced (Underpriced),17.0
720,Miamai Butik Otel,"45.582,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07126/1050X700/tsr07126637468258167872540.jpg,,"""+33000""",Marmaris - Bozburun ,"No Info km, No Info",Denize Sıfır,Özel Plaj,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,12214.7,33367.3,Significantly Overpriced,-73.2
719,Mes Mudita Boutique Hotel,"3.200,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12391/1050X700/tsr12391637880391155459531.jpg,,"""+33000""",Çeşme - Çeşme Merkez ,"80 km, Adnan Menderes ",750 Metre ve Üzeri,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8823.7,-5623.7,Significantly Overpriced (Underpriced),175.74
722,Mon Amour Alaçatı,"7.347,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12840/1050X700/tsr12840638089577732959989.jpg,,"""7000-9000""",Çeşme - Alaçatı ,"85 km, Adnan Menderes ",750 Metre ve Üzeri,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8594.8,-1247.8,Overpriced (Underpriced),16.98
724,Monreve Alaçatı,"26.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13172/1050X700/tsr13172638209780562279741.jpg,,"""25000-27000""",Çeşme - Alaçatı ,"68 km, Adnan Menderes ",No Info,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11820.0,14880.0,Significantly Overpriced,-55.73
883,Mg Club Akman Beach,"18.931,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13865/1050X700/tsr13865638473104471648799.jpg,,"""17000-19000""",Antalya - Kemer ,"No Info km, No Info",No Info,Halk Plajı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11010.1,7921.1,Significantly Overpriced,-41.84
721,Modern Life Bodrum Otel,"8.429,08 TL",https://cdn.tatilsepeti.com/Files/TesisResim/10330/tsr10330637049351123650001.jpg,"6,5","""7000-9000""",Bodrum - Gümbet ,"38 km, Milas ",300 - 400 Metre Arası,Halk Plajı,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,10328.0,-1899.0,Significantly Overpriced (Underpriced),22.53
