otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Adalya Elite Lara,27111.3,10,50.0,1.0,5,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Lara-Kundu 
Adalya Ocean Deluxe,27051.3,65,0.0,0.0,3,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Adam Eve,39150.0,35,0.0,1.0,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,Antalya , Belek-İskele 
Alaiye Resort Spa,16875.0,105,50.0,0.0,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Alarcha Hotels Resorts,16907.5,100,0.0,0.0,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Örenşehir 
Aletris Deluxe Hotel Spa,21157.2,45,600.0,0.0,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,Antalya , Side-Çolaklı 
Aqı Pegasos Royal,18662.9,95,0.0,1.0,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,Antalya , Alanya-İncekum 
Aydınbey Famous Resort Hotel,19710.0,40,0.0,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Antalya , Belek-Boğazkent 
Aydınbey Gold Dreams Hotel,21900.0,110,,0.0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Türkler 
Aydınbey Queen`s Palace Hotel,35040.0,20,750.0,0.0,2,1,1,1,2,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,Antalya , Belek-Kadriye 
Blue Waters Club,29776.5,65,0.0,1.0,0,1,2,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Sorgun 
Club Hotel Sera,25882.5,9,0.0,1.0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Örnekköy 
