Otel Adı,Gerçek Fiyat,Tahmin Edilen Fiyat,Fiyat Farkı,Adil Fiyat Aralığı;;;;
Adalya Elite Lara;25799.5;20.675.450.236.953.800;5.124.049.763.046.150;Düşük
Adalya Ocean Deluxe;30432.7;19.884.029.902.375.200;10.548.670.097.624.700;Düşük
Adam Eve;39150.0;22.048.273.986.051.700;17.101.726.013.948.200;Düşük
Alaiye Resort Spa;16875.0;2.051.961.655.126.200;-3.644.616.551.262.020;Yüksek
Alarcha Hotels Resorts;16907.5;19.852.569.237.892.900;-29.450.692.378.929.700;Yüksek
Aletris Deluxe Hotel Spa;28209.6;16.085.542.743.773.900;1.212.405.725.622.600;Düşük
Aqı Pegasos Royal;18662.9;19.355.274.805.338.400;-6.923.748.053.384.620;Yüksek
Aydınbey Famous Resort Hotel;20586.0;20.140.905.992.959.600;4.450.940.070.403.150;Orta
Aydınbey Queen`s Palace Hotel;35040.0;1.408.690.663.428.950;2.095.309.336.571.040;Düşük
Blue Waters Club;29776.5;20.142.383.704.511.200;9.634.116.295.488.730;Düşük
Boyalık Beach Hotel Spa Thermal Resort;21037.5;19.305.320.196.434.300;17.321.798.035.656.700;Düşük
Club Hotel Sera;25882.5;19.666.272.536.237.200;6.216.227.463.762.700;Düşük
Club Paradiso;13230.0;14.992.189.568.802.500;-17.621.895.688.025.300;Yüksek
Club Side Coast Hotel;15300.0;1.757.993.743.923.750;-22.799.374.392.375.300;Yüksek
Commodore Elite Suites Spa;40505.4;18.923.678.773.151.900;21.581.721.226.848.000;Düşük
Cornelia De Luxe Resort;38025.0;1.976.459.310.193.910;1.826.040.689.806.080;Düşük
Crystal De Luxe Resort Spa;21840.0;2.035.153.098.140.130;14.884.690.185.986.100;Düşük
Crystal Family Resort Spa;25875.0;2.198.051.789.504.480;3.894.482.104.955.130;Düşük
Crystal Palace Luxury Resort Spa;25935.0;2.223.691.448.352.240;36.980.855.164.775.700;Düşük
Crystal Sunset Luxury;14399.2;17.179.987.666.234.100;-27.807.876.662.341.900;Yüksek
Çenger Beach Resort Spa;24949.2;1.914.548.833.693.960;5.803.711.663.060.350;Düşük
Doria Hotel Bodrum;16320.0;13.388.502.407.790.900;2.931.497.592.209.080;Düşük
Ela Excellence Resort Belek;24675.8;22.805.513.041.512.200;18.702.869.584.877.500;Düşük
Hotel Terrace Beach Resort;23625.0;1.968.794.009.996.920;39.370.599.000.307.400;Düşük
Kirman Sidemarin Beach Spa;23625.0;21.166.159.573.559;24.588.404.264.409.900;Düşük
Laguna Beach Alya Resort Spa;18809.8;1.904.085.803.215.680;-23.105.803.215.688.100;Orta
Limak Atlantis Deluxe Hotel Resort;32076.0;21.088.015.886.102.500;10.987.984.113.897.400;Düşük
Limak Lara Deluxe Hotel Resort;31752.0;215.684.876.893.325;10.183.512.310.667.400;Düşük
Limak Limra Hotel Resort;29484.0;2.090.885.385.522.230;857.514.614.477.769;Düşük
Lrs Lake River Side Hotel Spa;21265.9;13.801.136.578.980.600;746.476.342.101.935;Düşük
Lrs Port River Hotel Spa;20674.0;1.839.298.392.218.140;2.281.016.077.818.530;Düşük
Luna Blanca Resort Spa;22499.9;18.271.214.817.869.900;4.228.685.182.130.000;Düşük
Lykia World Antalya;23085.0;21.390.374.888.862.500;1.694.625.111.137.490;Düşük
Marvida Family Eco;17784.0;17.412.724.911.439.900;37.127.508.856.001.800;Orta
Megasaray Club Belek;36000.0;2.047.000.512.086.990;1.552.999.487.913.000;Düşük
Meridia Beach Hotel;8640.0;19.359.716.718.532.100;-10.719.716.718.532.100;Yüksek
Meryan Beach Hotel Spa;12375.0;20.003.547.484.400.400;-7.628.547.484.400.450;Yüksek
Mirada Del Mar;23166.0;21.776.241.608.260.300;13.897.583.917.396.600;Düşük
Orange County Kemer;35100.0;19.256.135.324.535.800;15.843.864.675.464.100;Düşük
Pine Beach Belek;32400.0;19.929.669.657.752.900;12.470.330.342.247.000;Düşük
Queens Park Le Jardin Resort Spa;29503.5;20.282.121.337.052.100;9.221.378.662.947.860;Düşük
Queens Park Resort Göynük;34037.2;20.252.855.862.171.900;13.784.344.137.828.000;Düşük
Ramada Resort Bodrum;24795.0;13.720.569.131.485.900;11.074.430.868.514.000;Düşük
Raymar Resort Aqua;18144.0;1.956.370.319.122.830;-14.197.031.912.283.400;Yüksek
Riolavitas Resort Spa;20126.4;16.641.132.352.804.100;3.485.267.647.195.880;Düşük
Rox Royal Hotel;16380.0;1.808.069.030.814.780;-17.006.903.081.478.500;Yüksek
Selene Beach Spa Hotel;22139.2;19.006.258.980.415.600;3.132.941.019.584.360;Düşük
Sensitive Premium Resort Spa;18075.2;17.670.682.817.996.700;4.045.171.820.032.370;Orta
Sentido Kamelya Selin Hotel;35271.6;21.899.879.398.423.000;13.371.720.601.576.900;Düşük
Sentido Trendy Verbena Beach;30375.0;21.177.255.869.070.700;9.197.744.130.929.280;Düşük
Side Premium Hotel;30858.0;1.942.908.780.095.050;11.428.912.199.049.400;Düşük
Side Royal Style;19748.1;1.746.190.967.306.750;22.861.903.269.324.300;Düşük
Side Star Resort;19918.3;20.323.398.217.161.500;-40.509.821.716.158.600;Orta
Sirius Deluxe Hotel;22440.0;1.902.690.715.033.950;34.130.928.496.604.300;Düşük
Sueno Hotels Beach Side;27000.0;2.321.175.682.837.300;3.788.243.171.626.970;Düşük
Sunis Elita Beach Resort Spa;27840.0;19.914.992.777.589.600;7.925.007.222.410.310;Düşük
Sunis Evren Beach Resort Hotel;27000.0;20.050.440.722.874.200;6.949.559.277.125.710;Düşük
Susesi Luxury Resort;60480.0;229.632.704.447.917;375.167.295.552.083;Düşük
The Lumos Deluxe;22201.5;1.941.606.822.420.520;27.854.317.757.947.700;Düşük
Trendy Palm Beach;25312.5;2.002.711.391.083.240;52.853.860.891.675.700;Düşük
Tui Magic Life Belek;24097.5;20.980.520.055.874.000;31.169.799.441.259.400;Düşük
Turunç Premium Hotel;29700.0;19.863.895.796.399.000;9.836.104.203.600.990;Düşük
Venezia Palace Deluxe Resort Hotel;31239.0;21.292.645.849.400.400;9.946.354.150.599.580;Düşük
Vonresort Elite;29949.7;21.829.775.610.229.100;8.119.924.389.770.810;Düşük
Vonresort Golden Beach;21494.1;2.017.741.510.504.790;1.316.684.894.952.070;Düşük
Vonresort Golden Coast;10822.5;21.873.130.667.173.300;-11.050.630.667.173.300;Yüksek
Wome Deluxe Hotel;24412.5;20.897.063.716.366.000;3.515.436.283.633.960;Düşük
Adalya Resort Spa Adults Only;23400.0;2.046.341.510.981.920;29.365.848.901.807.400;Düşük
Tui Magic Life Jacaranda;33540.0;21.849.640.549.652.200;11.690.359.450.347.700;Düşük
Novum Garden Side Hotel;28203.0;1.859.273.067.967.520;961.026.932.032.471;Düşük
Side Breeze;15840.0;17.833.500.824.628.200;-1.993.500.824.628.210;Yüksek
Telatiye Resort Hotel;13291.2;19.282.604.860.924.200;-59.914.048.609.242.300;Yüksek
Villa Side Residence;18900.0;16.963.458.388.769.800;19.365.416.112.301.800;Düşük
Alaiye Kleopatra Hotel;12119.6;18.491.064.803.343.700;-63.714.648.033.437.800;Yüksek
Amon Hotels Belek;19958.4;13.664.738.996.533.400;6.293.661.003.466.500;Düşük
Ares Dream Hotel;8178.0;1.695.555.954.342.030;-8.777.559.543.420.370;Yüksek
Asrın Beach Hotel;12144.0;19.572.382.480.187.800;-7.428.382.480.187.850;Yüksek
Club Hotel Rama;11700.0;19.189.671.278.773.800;-7.489.671.278.773.860;Yüksek
Elamir Resort Hotel;13433.4;17.904.972.115.554.600;-4.471.572.115.554.660;Yüksek
Get Enjoy Hotels;13005.0;17.761.949.543.541.100;-4.756.949.543.541.110;Yüksek
The X Belek;22264.0;14.363.352.386.714.700;7.900.647.613.285.290;Düşük
