Hotel Name;Actual Price;Predicted Price;Price Difference;Fair Price Range
Adalya Elite Lara;25799.5;20.675.450.236.953.800;5.124.049.763.046.150;Low
Adalya Ocean Deluxe;30432.7;19.884.029.902.375.200;10.548.670.097.624.700;Low
Adam Eve;39150.0;22.048.273.986.051.700;17.101.726.013.948.200;Low
Alaiye Resort Spa;16875.0;2.051.961.655.126.200;-3.644.616.551.262.020;High
Alarcha Hotels Resorts;16907.5;19.852.569.237.892.900;-29.450.692.378.929.700;High
Aletris Deluxe Hotel Spa;28209.6;16.085.542.743.773.900;1.212.405.725.622.600;Low
Aqı Pegasos Royal;18662.9;19.355.274.805.338.400;-6.923.748.053.384.620;High
Aydınbey Famous Resort Hotel;20586.0;20.140.905.992.959.600;4.450.940.070.403.150;Medium
Aydınbey Queen`s Palace Hotel;35040.0;1.408.690.663.428.950;2.095.309.336.571.040;Low
Blue Waters Club;29776.5;20.142.383.704.511.200;9.634.116.295.488.730;Low
Boyalık Beach Hotel Spa Thermal Resort;21037.5;19.305.320.196.434.300;17.321.798.035.656.700;Low
Club Hotel Sera;25882.5;19.666.272.536.237.200;6.216.227.463.762.700;Low
Club Paradiso;13230.0;14.992.189.568.802.500;-17.621.895.688.025.300;High
Club Side Coast Hotel;15300.0;1.757.993.743.923.750;-22.799.374.392.375.300;High
Commodore Elite Suites Spa;40505.4;18.923.678.773.151.900;21.581.721.226.848.000;Low
Cornelia De Luxe Resort;38025.0;1.976.459.310.193.910;1.826.040.689.806.080;Low
Crystal De Luxe Resort Spa;21840.0;2.035.153.098.140.130;14.884.690.185.986.100;Low
Crystal Family Resort Spa;25875.0;2.198.051.789.504.480;3.894.482.104.955.130;Low
Crystal Palace Luxury Resort Spa;25935.0;2.223.691.448.352.240;36.980.855.164.775.700;Low
Crystal Sunset Luxury;14399.2;17.179.987.666.234.100;-27.807.876.662.341.900;High
Çenger Beach Resort Spa;24949.2;1.914.548.833.693.960;5.803.711.663.060.350;Low
Doria Hotel Bodrum;16320.0;13.388.502.407.790.900;2.931.497.592.209.080;Low
Ela Excellence Resort Belek;24675.8;22.805.513.041.512.200;18.702.869.584.877.500;Low
Hotel Terrace Beach Resort;23625.0;1.968.794.009.996.920;39.370.599.000.307.400;Low
Kirman Sidemarin Beach Spa;23625.0;21.166.159.573.559;24.588.404.264.409.900;Low
Laguna Beach Alya Resort Spa;18809.8;1.904.085.803.215.680;-23.105.803.215.688.100;Medium
Limak Atlantis Deluxe Hotel Resort;32076.0;21.088.015.886.102.500;10.987.984.113.897.400;Low
Limak Lara Deluxe Hotel Resort;31752.0;215.684.876.893.325;10.183.512.310.667.400;Low
Limak Limra Hotel Resort;29484.0;2.090.885.385.522.230;857.514.614.477.769;Low
Lrs Lake River Side Hotel Spa;21265.9;13.801.136.578.980.600;746.476.342.101.935;Low
Lrs Port River Hotel Spa;20674.0;1.839.298.392.218.140;2.281.016.077.818.530;Low
Luna Blanca Resort Spa;22499.9;18.271.214.817.869.900;4.228.685.182.130.000;Low
Lykia World Antalya;23085.0;21.390.374.888.862.500;1.694.625.111.137.490;Low
Marvida Family Eco;17784.0;17.412.724.911.439.900;37.127.508.856.001.800;Medium
Megasaray Club Belek;36000.0;2.047.000.512.086.990;1.552.999.487.913.000;Low
Meridia Beach Hotel;8640.0;19.359.716.718.532.100;-10.719.716.718.532.100;High
Meryan Beach Hotel Spa;12375.0;20.003.547.484.400.400;-7.628.547.484.400.450;High
Mirada Del Mar;23166.0;21.776.241.608.260.300;13.897.583.917.396.600;Low
Orange County Kemer;35100.0;19.256.135.324.535.800;15.843.864.675.464.100;Low
Pine Beach Belek;32400.0;19.929.669.657.752.900;12.470.330.342.247.000;Low
Queens Park Le Jardin Resort Spa;29503.5;20.282.121.337.052.100;9.221.378.662.947.860;Low
Queens Park Resort Göynük;34037.2;20.252.855.862.171.900;13.784.344.137.828.000;Low
Ramada Resort Bodrum;24795.0;13.720.569.131.485.900;11.074.430.868.514.000;Low
Raymar Resort Aqua;18144.0;1.956.370.319.122.830;-14.197.031.912.283.400;High
Riolavitas Resort Spa;20126.4;16.641.132.352.804.100;3.485.267.647.195.880;Low
Rox Royal Hotel;16380.0;1.808.069.030.814.780;-17.006.903.081.478.500;High
Selene Beach Spa Hotel;22139.2;19.006.258.980.415.600;3.132.941.019.584.360;Low
Sensitive Premium Resort Spa;18075.2;17.670.682.817.996.700;4.045.171.820.032.370;Medium
Sentido Kamelya Selin Hotel;35271.6;21.899.879.398.423.000;13.371.720.601.576.900;Low
Sentido Trendy Verbena Beach;30375.0;21.177.255.869.070.700;9.197.744.130.929.280;Low
Side Premium Hotel;30858.0;1.942.908.780.095.050;11.428.912.199.049.400;Low
Side Royal Style;19748.1;1.746.190.967.306.750;22.861.903.269.324.300;Low
Side Star Resort;19918.3;20.323.398.217.161.500;-40.509.821.716.158.600;Medium
Sirius Deluxe Hotel;22440.0;1.902.690.715.033.950;34.130.928.496.604.300;Low
Sueno Hotels Beach Side;27000.0;2.321.175.682.837.300;3.788.243.171.626.970;Low
Sunis Elita Beach Resort Spa;27840.0;19.914.992.777.589.600;7.925.007.222.410.310;Low
Sunis Evren Beach Resort Hotel;27000.0;20.050.440.722.874.200;6.949.559.277.125.710;Low
Susesi Luxury Resort;60480.0;229.632.704.447.917;375.167.295.552.083;Low
The Lumos Deluxe;22201.5;1.941.606.822.420.520;27.854.317.757.947.700;Low
Trendy Palm Beach;25312.5;2.002.711.391.083.240;52.853.860.891.675.700;Low
Tui Magic Life Belek;24097.5;20.980.520.055.874.000;31.169.799.441.259.400;Low
Turunç Premium Hotel;29700.0;19.863.895.796.399.000;9.836.104.203.600.990;Low
Venezia Palace Deluxe Resort Hotel;31239.0;21.292.645.849.400.400;9.946.354.150.599.580;Low
Vonresort Elite;29949.7;21.829.775.610.229.100;8.119.924.389.770.810;Low
Vonresort Golden Beach;21494.1;2.017.741.510.504.790;1.316.684.894.952.070;Low
Vonresort Golden Coast;10822.5;21.873.130.667.173.300;-11.050.630.667.173.300;High
Wome Deluxe Hotel;24412.5;20.897.063.716.366.000;3.515.436.283.633.960;Low
Adalya Resort Spa Adults Only;23400.0;2.046.341.510.981.920;29.365.848.901.807.400;Low
Tui Magic Life Jacaranda;33540.0;21.849.640.549.652.200;11.690.359.450.347.700;Low
Novum Garden Side Hotel;28203.0;1.859.273.067.967.520;961.026.932.032.471;Low
Side Breeze;15840.0;17.833.500.824.628.200;-1.993.500.824.628.210;High
Telatiye Resort Hotel;13291.2;19.282.604.860.924.200;-59.914.048.609.242.300;High
Villa Side Residence;18900.0;16.963.458.388.769.800;19.365.416.112.301.800;Low
Alaiye Kleopatra Hotel;12119.6;18.491.064.803.343.700;-63.714.648.033.437.800;High
Amon Hotels Belek;19958.4;13.664.738.996.533.400;6.293.661.003.466.500;Low
Ares Dream Hotel;8178.0;1.695.555.954.342.030;-8.777.559.543.420.370;High
Asrın Beach Hotel;12144.0;19.572.382.480.187.800;-7.428.382.480.187.850;High
Club Hotel Rama;11700.0;19.189.671.278.773.800;-7.489.671.278.773.860;High
Elamir Resort Hotel;13433.4;17.904.972.115.554.600;-4.471.572.115.554.660;High
Get Enjoy Hotels;13005.0;17.761.949.543.541.100;-4.756.949.543.541.110;High
The X Belek;22264.0;14.363.352.386.714.700;7.900.647.613.285.290;Low
Astoria Hotel;12105.0;17.421.064.052.981.100;-5.316.064.052.981.140;High
Club Mermaid Village;7705.1;15.840.883.148.290.000;-8.135.783.148.290.030;High
Hane Family Resort Hotel;15257.7;17.446.706.329.382.700;-21.890.063.293.827.700;High
Miramor Garden Resort;12105.0;16.717.281.624.365.100;-4.612.281.624.365.180;High
Museum Resort Spa;5292.0;12.659.773.416.238.600;-7.367.773.416.238.650;High
Mysea Hotels Alara;8505.0;18.746.100.401.150.300;-10.241.100.401.150.300;High
Side Su Hotel;14133.6;17.907.200.558.755.300;-37.736.005.587.553.600;High
Flora Bodrum Hotel;14256.0;18.180.850.229.681.600;-3.924.850.229.681.630;High
Malibu Resort Hotel;11117.6;1.614.765.182.233.210;-50.300.518.223.321.100;High
Le Meridien Bodrum Beach Resort;42083.1;19.647.681.250.587.600;22.435.418.749.412.300;Low
Rubi Platinum Sign;45818.2;190.467.127.788.093;267.714.872.211.907;Low
Sentido Lycus Beach;16005.8;1.847.348.540.729.890;-2.467.685.407.298.940;High
Akay Garden Family Club;8212.5;1.303.223.071.535.930;-4.819.730.715.359.370;High
Elamir Beach Bungalow;10631.2;17.818.379.438.974.000;-71.871.794.389.740.100;High
Adin Beach Hotel;33120.0;19.854.765.774.732.100;13.265.234.225.267.800;Low
Melas Resort Hotel;29700.0;1.986.253.413.130.690;9.837.465.868.693.040;Low
