otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Adalya Elite Lara,"27.111,36 TL",27000-29000,Antalya - Lara-Kundu ,"10 km, Antalya HA ",50 - 100 Metre Arası,Mavi Bayraklı Özel Plaj,Var,5,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adalya Ocean Deluxe,"27.051,36 TL",27000-29000,Antalya - Side-Evrenseki ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,1,1,1,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Adam Eve,"39.150,00 TL",+33000,Antalya - Belek-İskele ,"35 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0
Alaiye Resort Spa,"16.875,00 TL",15000-17000,Antalya - Alanya-Türkler ,"105 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,Yok,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
Alarcha Hotels Resorts,"16.907,52 TL",15000-17000,Antalya - Side-Örenşehir ,"100 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,2,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0
Aletris Deluxe Hotel Spa,"21.157,20 TL",21000-23000,Antalya - Side-Çolaklı ,"45 km, Antalya HA ",600 - 750 Metre Arası,Özel Plaj,Yok,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
Aqı Pegasos Royal,"18.662,94 TL",17000-19000,Antalya - Alanya-İncekum ,"95 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1
Aydınbey Famous Resort Hotel,"19.710,00 TL",19000-21000,Antalya - Belek-Boğazkent ,"40 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
Aydınbey Gold Dreams Hotel,"21.900,00 TL",21000-23000,Antalya - Alanya-Türkler ,"110 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Mavi Bayraklı Özel Plaj,Yok,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
Aydınbey Queen`s Palace Hotel,"35.040,00 TL",+33000,Antalya - Belek-Kadriye ,"20 km, Antalya HA ",750 Metre ve Üzeri,Mavi Bayraklı Özel Plaj,Yok,2,1,1,1,2,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
Blue Waters Club,"29.776,50 TL",29000-31000,Antalya - Side-Sorgun ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,Var,0,1,2,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
Boyalık Beach Hotel Spa Thermal Resort,"21.037,50 TL",21000-23000,Çeşme - Boyalık ,"90 km, Adnan Menderes HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,0,1,1,1,2,2,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Club Hotel Sera,"25.882,50 TL",25000-27000,Antalya - Lara-Örnekköy ,"9 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
Club Paradiso,"13.230,00 TL",13000-15000,Antalya - Alanya-Kestel ,"130 km, Antalya HA ",750 Metre ve Üzeri,Mavi Bayraklı Özel Plaj,Yok,2,1,1,1,3,1,1,8,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Club Side Coast Hotel,"15.300,00 TL",15000-17000,Antalya - Side-Çolaklı ,"60 km, Antalya HA ",300 - 400 Metre Arası,Özel Plaj,Yok,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1
Cornelia De Luxe Resort,"38.025,00 TL",+33000,Antalya - Belek-Serik ,"35 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,5,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
