"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
232,Kaya Prestige Hotel,"26.926,33 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02267/1050X700/tsr02267637351623746725695.jpg,"6","25000-27000",İzmir - Konak ,"17 km, Adnan Menderes HA ","600 - 750 Metre Arası",Yok,Yok,"1","1","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
581,My Dream Alaçatı,"15.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11199/1050X700/tsr11199637310388997356144.jpg,"","15000-17000",Çeşme - Alaçatı ,"68 km, Adnan Menderes HA ",No Info,Halk Plajı,Yok,"0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
580,Motif Hotel Çeşme,"14.483,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12061/1050X700/tsr12061637761236096688832.jpg,"","13000-15000",Çeşme - Çeşme Merkez ,"89 km, Adnan Menderes HA ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
582,Naturella Apart Hotel,"7.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12175/1050X700/tsr12175637867543582888357.jpg,"","7000-9000",Antalya - Kemer ,"No Info km, No Info","600 - 750 Metre Arası",Özel Plaj,Yok,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
231,Karaca Hotel,"17.241,20 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02305/tsr02305636122241328272856.jpg,"9","17000-19000",İzmir - Alsancak ,"18 km, Adnan Menderes HA ","300 - 400 Metre Arası",Yok,Yok,"0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
578,Mono Life Hotel,"18.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13530/1050X700/tsr13530638350640787395595.jpg,"","17000-19000",İzmir - Bayraklı ,"18 km, Adnan Menderes ",Uygun Değil,Yok,Yok,"0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
115,Prenses Sealine Beach Hotel,"4.012,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11802/1050X700/tsr11802638226144174795524.jpg,"8,1",+33000,Antalya - Belek-Boğazkent ,"35 km, Antalya HA ","200 - 300 Metre Arası",Halk Plajı,Yok,"0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","1","0","0","0","1","0","1","1","1","1","0"
308,Mert Seaside Hotel,"7.875,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06850/1050X700/tsr06850637092449324781022.jpg,"8,2","7000-9000",Marmaris - Siteler ,"95 km, Dalaman HA ","50 Metreye Kadar",Halk Plajı,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
233,Kleopatra Arsi Hotel,"15.526,05 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04794/1050X700/tsr04794638180415904819418.jpg,"6,9","15000-17000",Antalya - Alanya ,"125 km, Antalya ","50 - 100 Metre Arası",Özel Plaj,Yok,"0","1","1","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","1","0","1","1","1","1","0"
579,Morino Alaçatı,"12.211,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13147/1050X700/tsr13147638205308332705927.jpg,"","11000-13000",Çeşme - Alaçatı ,"67 km, Adnan Menderes ",No Info,Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
584,Odabaşı Su Alaçatı,"9.750,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12387/1050X700/tsr12387637878914053685424.jpg,"","9000-11000",Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
583,Numa Port Hotel,"11.280,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12967/1050X700/tsr12967638300311818796540.jpg,"","11000-13000",Antalya - Alanya ,"40 km, Gazipaşa HA ","300 - 400 Metre Arası",Yok,Yok,"1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
585,Olympos Çınar Hotel,"10.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13838/1050X700/tsr13838638459309118256654.jpg,"","9000-11000",Antalya - Olimpos ,"110 km, Antalya ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1"
116,The X Belek,"18.553,38 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13057/1050X700/tsr13057638262477272134180.jpg,"8,1","17000-19000",Antalya - Belek-Serik ,"27 km, Antalya HA ","750 Metre ve Üzeri",Özel Plaj,Yok,"4","0","1","1","1","1","0","4","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","0"
117,Antique Roman Palace +16,"11.137,50 TL",,"","11000-13000","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
23,Crystal Palace Luxury Resort Spa,"25.312,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02958/1050X700/tsr02958638472178258802507.jpg,"8,5","25000-27000",Antalya - Side-Çolaklı ,"55 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,Yok,"5","1","4","4","2","1","1","10","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1"
180,Martı La Perla,"14.784,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00150/1050X700/tsr00150638181118816314957.jpg,"7,3","13000-15000",Marmaris - İçmeler ,"105 km, Dalaman HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"1","1","1","1","1","0","1","2","0","0","1","0","1","1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","0"
1,Adalya Elite Lara,"25.949,70 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05912/1050X700/tsr05912638327430970887949.jpg,"8,8","25000-27000",Antalya - Lara-Kundu ,"10 km, Antalya HA ","50 - 100 Metre Arası",Mavi Bayraklı Özel Plaj,Var,"5","1","1","1","2","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
43,Luna Blanca Resort Spa,"33.750,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04835/1050X700/tsr04835638411707291737515.jpg,"7,6",+33000,Antalya - Side-Kumköy ,"65 km, Antalya HA ","200 - 300 Metre Arası",Mavi Bayraklı Özel Plaj,Yok,"2","1","1","1","2","1","1","3","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1"
61,Sealife Buket Beach Hotel,"13.657,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04235/1050X700/tsr04235637310080166813173.jpg,"8,2","13000-15000",Antalya - Alanya-Okurcalar ,"92 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"2","1","1","1","1","1","1","5","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1"
309,Meryem Ana,"5.872,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03475/1050X700/tsr03475638439303660008461.jpg,"8,2","5000-7000",Didim - Altınkum ,"75 km, Milas HA ",No Info,Halk Plajı,Yok,"0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1"
234,Marvida Hotel Akman Park,"14.820,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02388/1050X700/tsr02388638131167593237056.jpg,"8,4","13000-15000",Antalya - Kemer-Çamyuva ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,"1","0","1","1","1","0","0","1","1","0","0","0","1","1","1","0","1","0","1","1","0","0","1","0","1","1","0","1","1"
310,Miranda Moral Beach Hotel,"5.625,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12309/1050X700/tsr12309637856232055793612.jpg,"","5000-7000",Antalya - Kemer ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
588,Park Hotel Rooms Apart,"6.075,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13476/1050X700/tsr13476638417323555471794.jpg,"","5000-7000",Antalya - Kaleiçi ,"15 km, Antalya ","50 Metreye Kadar",Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
311,Monza House Otel,"20.061,80 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10376/1050X700/tsr10376637057215359998320.jpg,"","19000-21000",İzmir - Seferihisar ,"60 km, Adnan Menderes HA ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
235,Mia City Hotel,"17.877,86 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07087/1050X700/tsr07087637337010994558528.jpg,"9","17000-19000",İzmir - Gaziemir ,"No Info km, No Info",Uygun Değil,Yok,Yok,"1","1","1","1","0","0","1","0","0","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
2,Adalya Ocean Deluxe,"26.362,56 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04860/1050X700/tsr04860638399758446198153.jpg,"8,8","25000-27000",Antalya - Side-Evrenseki ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"3","1","1","1","1","1","1","3","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1"
